Instancia,n,cantidad-pasos,temperatura-max,coefEn,costo-antes,costo-despues,costo-optimo,tiempo
A-n34-k5,34,1000,20,0.99,872.491,857.369,778,1877.5
A-n37-k6,37,1000,20,0.99,1209.26,1173.8,949,2040.5
A-n39-k6,39,1000,20,0.99,1077.09,1051.46,831,2102.5
A-n44-k6,44,1000,20,0.99,1138.88,1080.35,937,2288.5
A-n45-k7,45,1000,20,0.99,1382.29,1360.26,1146,2361
A-n48-k7,48,1000,20,0.99,1291.05,1266.27,1073,2463.5
A-n53-k7,53,1000,20,0.99,1219.71,1175.16,1010,2590
A-n55-k9,55,1000,20,0.99,1295.53,1261.41,1073,3012.5
A-n60-k9,60,1000,20,0.99,1671.09,1645.62,1354,3420.5
A-n65-k9,65,1000,20,0.99,1349.15,1343.44,1174,3731
A-n69-k9,69,1000,20,0.99,1367.23,1319.03,1159,3755
A-n80-k10,80,1000,20,0.99,2439.75,2429.62,1763,5677.5
